84;1869990;2599990;NULL;NULL;HP;Core i7;NULL;ProBook;Intel Core i7;8GB;512GB SSD
85;2049990;2199990;NULL;NULL;Lenovo;Core i5;NULL;ThinkBook;Intel Core i5;8GB;1TB SSD
86;1919990;2349990;NULL;NULL;HP;Ryzen 5;NULL;Other;AMD Ryzen 5;8GB;512GB SSD
87;1329990;1999990;NULL;NULL;Lenovo;NULL;512GB SSD;V Series;Intel Core i5;8GB;512GB SSD
88;1489990;1850000;NULL;NULL;HP;Core i5;8GB-512GB SSD;Other;Intel Core i5;8GB;512GB SSD
89;2149990;2400000;NULL;NULL;HP;Core i7;NULL;ProBook;Intel Core i7;8GB;512GB SSD
90;1279990;2000000;NULL;NULL;Lenovo;NULL;8GB-512GB SSD;ThinkBook;Intel Core i3;8GB;512GB SSD
91;1654880;2000000;NULL;NULL;Lenovo;Core i5;NULL;ThinkBook;Intel Core i5;NULL;NULL
92;2259990;3000000;NULL;NULL;Lenovo;NULL;NULL;ThinkBook;NULL;8GB;512GB SSD
93;1459990;1500000;NULL;NULL;Lenovo;Core i5;NULL;V Series;Intel Core i5;NULL;NULL
94;2479990;3000000;NULL;NULL;HP;Core i7;NULL;Other;Intel Core i7;16GB;512GB SSD
95;1689990;2000000;NULL;NULL;Lenovo;Core i7;NULL;IdeaPad;Intel Core i7;16GB;512GB SSD
96;2379990;2500000;NULL;NULL;Lenovo;Core i5;NULL;ThinkPad;Intel Core i5;8GB;512GB SSD
97;2379990;2500000;NULL;NULL;Lenovo;Core i5;NULL;ThinkPad;Intel Core i5;8GB;512GB SSD
98;1999990;2300000;NULL;NULL;HP;Core i5;NULL;Other;Intel Core i5;8GB;512GB SSD
99;2339990;2500000;NULL;NULL;HP;NULL;NULL;Envy;NULL;16GB;512GB SSD
100;1419990;2000000;NULL;NULL;HP;NULL;NULL;Other;NULL;8GB;512GB SSD
101;2619990;3700000;NULL;NULL;Lenovo;Ultra 7;NULL;Yoga;Intel Core Ultra 7;16GB;1TB SSD
102;1719990;2000000;NULL;NULL;Dell;NULL;8GB-256GB SSD;Latitude;Intel Core i5;8GB;256GB SSD
103;2219990;2900000;NULL;NULL;Dell;NULL;NULL;Inspiron;NULL;NULL;NULL
104;1819990;2000000;NULL;NULL;ASUS;NULL;16GB-512GB SSD;ExpertBook;Intel Core i7;16GB;512GB SSD
105;2169990;2350000;NULL;NULL;HP;Ultra 5;NULL;ProBook;Intel Core Ultra 5;NULL;NULL
106;2519990;2800000;NULL;NULL;Lenovo;Ultra 7;8GB-512GB SSD;ThinkBook;Intel Core Ultra 7;8GB;512GB SSD
107;4339990;4600000;NULL;NULL;HP;NULL;NULL;Omen;Intel Core i7;32GB;1TB SSD
108;3789990;3999990;NULL;NULL;ASUS;NULL;NULL;ROG;Intel Core i7;32GB;1TB SSD
109;3279990;3699990;NULL;NULL;Dell;Ultra 7;8GB-512GB SSD;Latitude;Intel Core Ultra 7;8GB;512GB SSD
110;3049990;3400000;NULL;NULL;DELL;Ultra 5;8GB-512GB SSD;Other;Intel Core Ultra 5;8GB;512GB SSD
111;2219990;2500000;NULL;NULL;Lenovo;Core i513420;NULL;IdeaPad;Intel Core i5;16GB;512GB SSD
112;1339990;1405000;5;1;HP;Ryzen 5;NULL;Other;AMD Ryzen 5;NULL;NULL
113;3899990;4999990;NULL;NULL;ASUS;Ultra 9;NULL;Zenbook;NULL;32GB;1TB SSD
114;2599990;2900000;NULL;NULL;HP;Ultra 7;NULL;OmniBook;Intel Core Ultra 7;16GB;1TB SSD
115;6299990;6999990;NULL;NULL;LENOVO;NULL;NULL;Legion;Intel Core i9;8GB;1TB SSD
116;6229990;6700000;NULL;NULL;Lenovo;Ultra 7;NULL;Legion;Intel Core Ultra 7;8GB;1TB SSD
117;3279990;3750000;NULL;NULL;ASUS;NULL;16GB-512GB SSD;TUF Gaming;Intel Core i7;16GB;512GB SSD
118;9959990;10500000;NULL;NULL;ACER;Ultra 9;NULL;Predator;NULL;16GB;1TB SSD
119;4499990;5700000;NULL;NULL;ASUS;NULL;NULL;ROG;Intel Core i7;8GB;1TB SSD
120;1949990;2450000;NULL;NULL;Asus;NULL;NULL;ExpertBook;Intel Core i7;16GB;1TB SSD
121;2449990;3000000;NULL;NULL;Lenovo;NULL;8GB-512GB SSD;ThinkPad;NULL;8GB;512GB SSD
122;4149990;4850000;NULL;NULL;Lenovo;Ultra 7;16GB-512GB SSD;ThinkPad;Intel Core Ultra 7;16GB;512GB SSD
123;5029990;5999990;NULL;NULL;Acer;NULL;NULL;Predator;NULL;16GB;1TB SSD
124;5499990;6000000;NULL;NULL;ASUS;Ultra 9;NULL;TUF Gaming;NULL;8GB;1TB SSD
125;1499990;2000000;NULL;NULL;Asus;NULL;8GB-512GB SSD;Vivobook;Intel Core i5;8GB;512GB SSD
126;5999990;6500000;NULL;NULL;Lenovo;NULL;NULL;Legion;Intel Core i9;8GB;1TB SSD
127;3519990;3800000;NULL;NULL;HP;Core i7;16GB-512GB SSD;Victus;Intel Core i7;8GB;512GB SSD
128;3379990;3900000;NULL;NULL;HP;NULL;16GB-512GB SSD;Victus;Intel Core i7;16GB;512GB SSD
129;2869990;2999990;NULL;NULL;Apple;M4;NULL;MacBook;NULL;NULL;NULL
130;1769990;2499990;NULL;NULL;Lenovo;Core i7;NULL;ThinkBook;Intel Core i7;8GB;256GB SSD
131;2029990;2549990;NULL;NULL;Lenovo;Core i7;NULL;ThinkBook;Intel Core i7;8GB;1TB SSD
132;5499990;6099990;NULL;NULL;Lenovo;Ultra 7;32GB-512GB SSD;ThinkPad;Intel Core Ultra 7;32GB;512GB SSD
133;3399990;3699990;NULL;NULL;HP;Core i7;NULL;Other;Intel Core i7;16GB;512GB SSD
