Discounted_Price,Actual_Price,Rating,Reviews,Brand,Core,SSD,Series,Processor,RAM,Storage
3049990.0,3400000.0,,,Dell,Ultra 5,512GB,Other,Intel Core Ultra 5,8GB,512GB SSD
2219990.0,2500000.0,,,Lenovo,Core i5,,IdeaPad,Intel Core i5,16GB,512GB SSD
1339990.0,1405000.0,5.0,1.0,HP,Ryzen 5,,Other,AMD Ryzen 5,,
3899990.0,4999990.0,,,Asus,Ultra 9,,Zenbook,,32GB,1TB SSD
2599990.0,2900000.0,,,HP,Ultra 7,,OmniBook,Intel Core Ultra 7,16GB,1TB SSD
6299990.0,6999990.0,,,Lenovo,,,Legion,Intel Core i9,8GB,1TB SSD
6229990.0,6700000.0,,,Lenovo,Ultra 7,,Legion,Intel Core Ultra 7,8GB,1TB SSD
3279990.0,3750000.0,,,Asus,,512GB,TUF Gaming,Intel Core i7,16GB,512GB SSD
9959990.0,10500000.0,,,Acer,Ultra 9,,Predator,,16GB,1TB SSD
4499990.0,5700000.0,,,Asus,,,ROG,Intel Core i7,8GB,1TB SSD
1949990.0,2450000.0,,,Asus,,,ExpertBook,Intel Core i7,16GB,1TB SSD
2449990.0,3000000.0,,,Lenovo,,512GB,ThinkPad,,8GB,512GB SSD
4149990.0,4850000.0,,,Lenovo,Ultra 7,512GB,ThinkPad,Intel Core Ultra 7,16GB,512GB SSD
5029990.0,5999990.0,,,Acer,,,Predator,,16GB,1TB SSD
5499990.0,6000000.0,,,Asus,Ultra 9,,TUF Gaming,,8GB,1TB SSD
1499990.0,2000000.0,,,Asus,,512GB,Vivobook,Intel Core i5,8GB,512GB SSD
5999990.0,6500000.0,,,Lenovo,,,Legion,Intel Core i9,8GB,1TB SSD
3519990.0,3800000.0,,,HP,Core i7,512GB,Victus,Intel Core i7,8GB,512GB SSD
3379990.0,3900000.0,,,HP,,512GB,Victus,Intel Core i7,16GB,512GB SSD
2869990.0,2999990.0,,,Apple,M4,,MacBook,,,
1769990.0,2499990.0,,,Lenovo,Core i7,,ThinkBook,Intel Core i7,8GB,256GB SSD
2029990.0,2549990.0,,,Lenovo,Core i7,,ThinkBook,Intel Core i7,8GB,1TB SSD
5499990.0,6099990.0,,,Lenovo,Ultra 7,512GB,ThinkPad,Intel Core Ultra 7,32GB,512GB SSD
3399990.0,3699990.0,,,HP,Core i7,,Other,Intel Core i7,16GB,512GB SSD
3579990.0,5399990.0,,,HP,,,Victus,Intel Core i7,8GB,1TB SSD
1019990.0,1299990.0,,,Lenovo,Core i3,,IdeaPad,Intel Core i3,,
1539990.0,2000000.0,,,Asus,,512GB,ExpertBook,Intel Core i5,16GB,512GB SSD
3569990.0,4000000.0,,,Asus,,,TUF Gaming,Intel Core i7,8GB,1TB SSD
2299990.0,3500000.0,,,Lenovo,,512GB,ThinkBook,,8GB,512GB SSD
2549990.0,3000000.0,,,Lenovo,Core i7,,ThinkPad,Intel Core i7,16GB,512GB SSD
2439990.0,2900000.0,,,Lenovo,Core i5,,ThinkPad,Intel Core i5,8GB,512GB SSD
1979990.0,2500000.0,,,HP,Ultra 5,,ProBook,Intel Core Ultra 5,16GB,512GB SSD
1449990.0,1900000.0,,,HP,,512GB,Other,Intel Core i5,8GB,512GB SSD
1729990.0,2400000.0,,,Dell,,,Vostro,,16GB,512GB SSD
2129990.0,2300000.0,,,Lenovo,Ultra 5,512GB,ThinkBook,Intel Core Ultra 5,16GB,512GB SSD
1989990.0,2500000.0,,,Lenovo,,,IdeaPad,Intel Core i7,,
1819990.0,2000000.0,,,Lenovo,,,ThinkBook,Intel Core i7,,
1869990.0,2500000.0,,,HP,Core i7,,ProBook,Intel Core i7,,
2219990.0,2800000.0,,,HP,Core i7,,ProBook,Intel Core i7,,
1439990.0,2000000.0,,,Dell,Core i5,,Inspiron,Intel Core i5,,
2619990.0,2750000.0,,,Lenovo,Core i5,,LOQ,Intel Core i5,,
3529990.0,4000000.0,,,Apple,M3,,MacBook,Apple M3,,
4225000.0,4429990.0,,,Infinix,Core i9,,Other,Intel Core i9,,1TB SSD
2359990.0,2649990.0,,,Dell,,,Inspiron,,16GB,1TB SSD
1959990.0,1999990.0,,,Lenovo,Ultra 5,512GB,ThinkBook,Intel Core Ultra 5,8GB,512GB SSD
2359990.0,2399990.0,,,Lenovo,Ultra 7,512GB,ThinkBook,Intel Core Ultra 7,8GB,512GB SSD
1999990.0,,,,Lenovo,Ultra 5,512GB,ThinkBook,Intel Core Ultra 5,8GB,512GB SSD
2429990.0,2500000.0,,,Lenovo,Ultra 5,512GB,ThinkPad,Intel Core Ultra 5,8GB,512GB SSD
3129990.0,3250000.0,,,Acer,Core i9,512GB,V Series,Intel Core i9,16GB,512GB SSD
